epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2407.22,0.82385,0.68522,1.14033,0.85443,0.86879,0.89893,0.77959,0.84391,0.51941,1.1117,0.000540037,0.000540037,0.000540037
43,2464.45,0.8238,0.68279,1.13437,0.86431,0.82942,0.91465,0.7838,0.82282,0.48756,1.09741,0.000531038,0.000531038,0.000531038
44,2521.7,0.8167,0.66384,1.13658,0.79851,0.85184,0.85078,0.72303,0.8384,0.49619,1.10832,0.000522039,0.000522039,0.000522039
45,2578.86,0.80373,0.67003,1.12635,0.66092,0.88981,0.84564,0.72721,0.80963,0.53027,1.09163,0.00051304,0.00051304,0.00051304
46,2636.77,0.7926,0.65902,1.12554,0.84707,0.87368,0.8847,0.76437,0.81654,0.50311,1.09966,0.00050404,0.00050404,0.00050404
47,2695.18,0.77334,0.6416,1.10799,0.85327,0.89878,0.9031,0.76918,0.83877,0.50003,1.11782,0.000495041,0.000495041,0.000495041
48,2752.33,0.77774,0.63701,1.11346,0.85908,0.86885,0.91785,0.78331,0.80885,0.50927,1.08914,0.000486042,0.000486042,0.000486042
49,2809.42,0.77084,0.62132,1.10279,0.8897,0.88254,0.91604,0.78455,0.82758,0.48023,1.10518,0.000477043,0.000477043,0.000477043
50,2866.4,0.76017,0.60092,1.10258,0.92237,0.88361,0.91385,0.79088,0.82206,0.47375,1.09367,0.000468044,0.000468044,0.000468044
51,2923.13,0.77029,0.62752,1.09964,0.83354,0.89614,0.9251,0.77604,0.81253,0.47547,1.08582,0.000459045,0.000459045,0.000459045
52,2980.79,0.75787,0.60531,1.08896,0.90757,0.87967,0.93344,0.78665,0.80476,0.47722,1.08313,0.000450046,0.000450046,0.000450046
53,3037.82,0.7469,0.59336,1.09034,0.92503,0.88435,0.90941,0.77498,0.81549,0.4637,1.08752,0.000441047,0.000441047,0.000441047
54,3094.91,0.75715,0.58211,1.0885,0.91203,0.88845,0.90264,0.78537,0.81682,0.47578,1.0918,0.000432048,0.000432048,0.000432048
55,3152.12,0.7334,0.58003,1.08031,0.91811,0.89435,0.90364,0.79398,0.79491,0.46113,1.07724,0.000423049,0.000423049,0.000423049
56,3209.46,0.72643,0.5779,1.07167,0.87012,0.90499,0.90348,0.7877,0.81299,0.47184,1.08216,0.000414049,0.000414049,0.000414049
57,3266.17,0.72994,0.57304,1.07682,0.91739,0.85685,0.8856,0.75616,0.81348,0.48113,1.09232,0.00040505,0.00040505,0.00040505
58,3323.76,0.71136,0.55258,1.06941,0.89563,0.8929,0.90127,0.772,0.80033,0.45822,1.07612,0.000396051,0.000396051,0.000396051
59,3383.03,0.7227,0.56381,1.06967,0.90433,0.88361,0.90259,0.77325,0.81174,0.44922,1.08911,0.000387052,0.000387052,0.000387052
60,3440.33,0.70657,0.54787,1.06368,0.9072,0.86206,0.91021,0.79925,0.81,0.45119,1.08684,0.000378053,0.000378053,0.000378053
61,3496.27,0.72046,0.56611,1.07396,0.91397,0.88789,0.90297,0.77019,0.80432,0.47077,1.09021,0.000369054,0.000369054,0.000369054
62,3552.22,0.70403,0.54981,1.06464,0.85531,0.84873,0.90069,0.77796,0.81109,0.45551,1.09356,0.000360055,0.000360055,0.000360055
63,3608.07,0.70421,0.53225,1.07165,0.89984,0.90038,0.89699,0.76563,0.80171,0.4573,1.09447,0.000351056,0.000351056,0.000351056
64,3664.41,0.68675,0.54395,1.0535,0.88974,0.89567,0.90422,0.78431,0.81427,0.45948,1.08628,0.000342057,0.000342057,0.000342057
65,3720.13,0.68997,0.53104,1.06034,0.84778,0.85555,0.92538,0.78122,0.82093,0.44838,1.10258,0.000333058,0.000333058,0.000333058
66,3776.44,0.68627,0.52764,1.04992,0.92969,0.88318,0.91536,0.77306,0.81631,0.42948,1.10138,0.000324058,0.000324058,0.000324058
67,3832.83,0.6803,0.51258,1.0473,0.89492,0.89642,0.90818,0.77384,0.80453,0.42943,1.09886,0.000315059,0.000315059,0.000315059
68,3888.88,0.68389,0.52127,1.04722,0.91512,0.89249,0.9124,0.79453,0.79368,0.43787,1.06847,0.00030606,0.00030606,0.00030606
69,3945.02,0.66872,0.50926,1.04657,0.92153,0.89624,0.94857,0.8208,0.80324,0.42986,1.08607,0.000297061,0.000297061,0.000297061
70,4002.16,0.66082,0.49728,1.0416,0.94329,0.88802,0.92193,0.78881,0.79978,0.40947,1.09118,0.000288062,0.000288062,0.000288062
71,4058.72,0.66683,0.49681,1.0408,0.91319,0.88179,0.93287,0.7929,0.80568,0.45664,1.09973,0.000279063,0.000279063,0.000279063
72,4114.54,0.64763,0.48905,1.0356,0.93069,0.89552,0.93521,0.80081,0.80458,0.44889,1.10195,0.000270064,0.000270064,0.000270064
73,4170.25,0.64563,0.4916,1.03749,0.93695,0.89533,0.91093,0.79634,0.7949,0.41991,1.09569,0.000261065,0.000261065,0.000261065
74,4225.8,0.64078,0.48808,1.02967,0.94189,0.88539,0.91509,0.79237,0.79832,0.41822,1.08708,0.000252066,0.000252066,0.000252066
75,4281.84,0.63798,0.46226,1.02406,0.93485,0.88555,0.91313,0.80489,0.8017,0.41825,1.08972,0.000243067,0.000243067,0.000243067
76,4337.82,0.64349,0.47803,1.03375,0.93704,0.8947,0.9176,0.77255,0.79736,0.43161,1.08504,0.000234068,0.000234068,0.000234068
77,4393.96,0.62146,0.45584,1.01656,0.93295,0.89389,0.92142,0.77507,0.79341,0.43324,1.0905,0.000225068,0.000225068,0.000225068
78,4449.58,0.62949,0.45855,1.02391,0.93849,0.89613,0.92019,0.78995,0.79919,0.41594,1.10123,0.000216069,0.000216069,0.000216069
79,4505.36,0.63456,0.46451,1.02299,0.93277,0.8978,0.9287,0.79855,0.79505,0.42082,1.08927,0.00020707,0.00020707,0.00020707
80,4561.37,0.61296,0.44575,1.01187,0.90944,0.89506,0.9156,0.78217,0.78615,0.41403,1.08847,0.000198071,0.000198071,0.000198071
81,4616.86,0.60769,0.46314,1.01283,0.91882,0.8747,0.90723,0.7825,0.80158,0.422,1.09401,0.000189072,0.000189072,0.000189072
82,4672.5,0.61852,0.45545,1.0248,0.93266,0.89609,0.91093,0.79283,0.77595,0.40722,1.0815,0.000180073,0.000180073,0.000180073
83,4729.27,0.60333,0.42808,1.01628,0.92499,0.87507,0.9327,0.7908,0.78726,0.43125,1.09883,0.000171074,0.000171074,0.000171074
84,4786.58,0.60538,0.45407,1.02402,0.92133,0.89593,0.92212,0.79411,0.79246,0.43073,1.09413,0.000162075,0.000162075,0.000162075
85,4842.65,0.59622,0.43442,1.01258,0.92879,0.88188,0.95227,0.80712,0.80834,0.42664,1.10756,0.000153076,0.000153076,0.000153076
86,4898.76,0.59485,0.42939,1.01062,0.93385,0.89492,0.9395,0.81102,0.78603,0.41765,1.09901,0.000144077,0.000144077,0.000144077
87,4957,0.58146,0.40979,1.00513,0.92684,0.87626,0.92826,0.80311,0.78825,0.41544,1.10216,0.000135077,0.000135077,0.000135077
88,5014.25,0.58156,0.4248,1.00029,0.93089,0.88257,0.93818,0.81083,0.78931,0.42556,1.09753,0.000126078,0.000126078,0.000126078
89,5071.36,0.58679,0.42047,1.00748,0.92534,0.89528,0.95217,0.81371,0.78865,0.41341,1.08905,0.000117079,0.000117079,0.000117079
90,5129.21,0.56701,0.41026,0.99557,0.94035,0.89257,0.936,0.81092,0.77946,0.41438,1.09369,0.00010808,0.00010808,0.00010808
